"","...1","oa21cd","Female","Male","Aged_4_years_and_under","Aged_5_to_9_years","Aged_10_to_14_years","Aged_15_to_19_years","Aged_20_to_24_years","Aged_25_to_29_years","Aged_30_to_34_years","Aged_35_to_39_years","Aged_40_to_44_years","Aged_45_to_49_years","Aged_50_to_54_years","Aged_55_to_59_years","Aged_60_to_64_years","Aged_65_to_69_years","Aged_70_to_74_years","Aged_75_to_79_years","Aged_80_to_84_years","Aged_85_years_and_over","No_qualifications","Level_1_and_entry_level_qualifications","Level_2_qualifications","Apprenticeship","Level_3_qualifications","Level_4_qualifications_or_above","Other_qualifications","Owned_Owns_outright","Owned_Owns_with_a_mortgage_or_loan","Shared_ownership","Social_rented","Private_rented","Lives_rent_free","Asian_Asian_British_or_Asian_Welsh","Black_Black_British_Black_Welsh_Caribbean_or_African","Mixed_or_Multiple_ethnic_groups","White","Other_ethnic_group","1_Managers_directors_and_senior_officials","2_Professional_occupations","3_Associate_professional_and_technical_occupations","4_Administrative_and_secretarial_occupations","5_Skilled_trades_occupations","6_Caring_leisure_and_other_service_occupations","7_Sales_and_customer_service_occupations","8_Process_plant_and_machine_operatives","9_Elementary_occupations","Economically_active_(excluding_full_time_students)_In_employment_Employee_Part_time","Economically_active_(excluding_full_time_students)_In_employment_Employee_Full_time","Economically_active_(excluding_full_time_students)_In_employment_Self_employed_with_employees","Economically_active_(excluding_full_time_students)_In_employment_Self_employed_without_employees","Economically_active_(excluding_full_time_students)_Unemployed","Economically_active_and_a_full_time_student_In_employment","Economically_active_and_a_full_time_student_Unemployed","Economically_inactive_Retired","Economically_inactive_Student","Economically_inactive_Looking_after_home_or_family","Economically_inactive_Long_term_sick_or_disabled","Economically_inactive_Other","Europe_United_Kingdom","Europe_EU_countries","Europe_Non_EU_countries_All_other_non_EU_countries","Africa","Middle_East_and_Asia","The_Americas_and_the_Caribbean","Antarctica_and_Oceania_(including_Australasia)_and_Other","British_Overseas","Household_is_not_deprived_in_any_dimension","Household_is_deprived_in_one_dimension","Household_is_deprived_in_two_dimensions","Household_is_deprived_in_three_dimensions","Household_is_deprived_in_four_dimensions","British_only_identity","English_only_identity","English_and_British_only_identity","Welsh_only_identity","Welsh_and_British_only_identity","Any_other_combination_of_only_UK_identities","Irish_only_identity","Irish_and_at_least_one_UK_identity","Other_identity_only","Other_identity_and_at_least_one_UK_identity","One_person_household","All_household_members_have_the_same_ethnic_group","Ethnic_groups_differ_between_generations_but_not_within_partnerships","Ethnic_groups_differ_within_partnerships","Any_other_combination_of_multiple_ethnic_identities","One_person_household_Aged_66_years_and_over","One_person_household_Other","Single_family_household_All_aged_66_years_and_over","Single_family_household_Married_or_civil_partnership_couple_No_children","Single_family_household_Married_or_civil_partnership_couple_Dependent_children","Single_family_household_Married_or_civil_partnership_couple_All_children_non_dependent","Single_family_household_Cohabiting_couple_family_No_children","Single_family_household_Cohabiting_couple_family_With_dependent_children","Single_family_household_Cohabiting_couple_family_All_children_non_dependent","Single_family_household_Lone_parent_family_With_dependent_children","Single_family_household_Lone_parent_family_All_children_non_dependent","Single_family_household_Other_single_family_household_Other_family_composition","Other_household_types_With_dependent_children","Other_household_types_Other_including_all_full_time_students_and_all_aged_66_years_and_over","Never_married_and_never_registered_a_civil_partnership","Married_or_in_a_registered_civil_partnership_Married_Opposite_sex","Married_or_in_a_registered_civil_partnership_Married_Same_sex","Married_or_in_a_registered_civil_partnership_In_a_registered_civil_partnership_Opposite_sex","Married_or_in_a_registered_civil_partnership_In_a_registered_civil_partnership_Same_sex","Separated_but_still_legally_married_or_still_legally_in_a_civil_partnership","Divorced_or_civil_partnership_dissolved","Widowed_or_surviving_civil_partnership_partner","Cannot_speak_Welsh","Can_speak_Welsh","Not_in_employment_Worked_in_the_last_12_months","Not_in_employment_Not_worked_in_the_last_12_months","Not_in_employment_Never_worked","Very_good_health","Good_health","Fair_health","Bad_health","Very_bad_health","No_religion","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other_religion","Not_answered","low_diversity","security","segment","segment_name"
"1",0,"E00060358",0.558139535,0.441860465,0.029801325,0.01986755,0.036423841,0.029801325,0.023178808,0.026490066,0.046357616,0.029801325,0.039735099,0.043046358,0.059602649,0.082781457,0.086092715,0.069536424,0.135761589,0.052980132,0.056291391,0.132450331,0.291512915,0.10701107,0.10701107,0.055350554,0.162361624,0.236162362,0.040590406,0.267973856,0.163398693,0,0.326797386,0.235294118,0.006535948,0.009966777,0,0,0.990033223,0,0.00952381,0.180952381,0.142857143,0.066666667,0.2,0.104761905,0.076190476,0.104761905,0.114285714,0.081481481,0.2,0.011111111,0.1,0.011111111,0.003703704,0.003703704,0.448148148,0,0.040740741,0.059259259,0.040740741,0.980066445,0,0,0,0.013289037,0,0.006644518,0,0.355263158,0.368421053,0.223684211,0.052631579,0,0.564784053,0.255813953,0.169435216,0.003322259,0,0,0,0,0.006644518,0,0.473684211,0.519736842,0,0.006578947,0,0.299319728,0.183673469,0.142857143,0.115646259,0.027210884,0.074829932,0.027210884,0.034013605,0,0.027210884,0.047619048,0.006802721,0,0.013605442,0.238970588,0.4375,0,0,0,0.047794118,0.080882353,0.194852941,0,0,0.012269939,0.766871166,0.220858896,0.315614618,0.325581395,0.235880399,0.102990033,0.019933555,0.31147541,0.606557377,0.006557377,0.009836066,0,0,0,0,0.06557377,-1.219389506,-1.228363964,7,"segment_07"
"2",1,"E00060359",0.523809524,0.476190476,0.022140221,0.018450185,0.022140221,0.036900369,0.018450185,0.025830258,0.04797048,0.066420664,0.029520295,0.044280443,0.04797048,0.062730627,0.121771218,0.099630996,0.162361624,0.081180812,0.033210332,0.05904059,0.277777778,0.071428571,0.115079365,0.087301587,0.198412698,0.214285714,0.035714286,0.64028777,0.251798561,0,0.021582734,0.086330935,0,0.003649635,0.003649635,0,0.99270073,0,0.075268817,0.150537634,0.129032258,0.161290323,0.11827957,0.107526882,0.043010753,0.096774194,0.11827957,0.11023622,0.200787402,0.015748031,0.043307087,0.011811024,0.003937008,0.007874016,0.492125984,0.023622047,0.027559055,0.059055118,0.003937008,0.989051095,0,0,0.003649635,0.003649635,0.003649635,0,0,0.436619718,0.35915493,0.154929577,0.049295775,0,0.531135531,0.252747253,0.208791209,0,0,0.007326007,0,0,0,0,0.312056738,0.673758865,0,0.014184397,0,0.197183099,0.112676056,0.274647887,0.147887324,0.070422535,0.077464789,0.014084507,0.021126761,0.014084507,0.028169014,0.014084507,0.021126761,0,0.007042254,0.220472441,0.625984252,0,0,0,0.011811024,0.035433071,0.106299213,0,0,0.056603774,0.65408805,0.289308176,0.291970803,0.434306569,0.211678832,0.054744526,0.00729927,0.249084249,0.710622711,0,0,0,0,0,0,0.04029304,-1.617483498,-0.527223091,8,"segment_08"
"3",2,"E00060360",0.481751825,0.518248175,0.025454545,0.021818182,0.029090909,0.050909091,0.04,0.08,0.047272727,0.076363636,0.032727273,0.04,0.069090909,0.123636364,0.112727273,0.098181818,0.058181818,0.047272727,0.036363636,0.010909091,0.156,0.084,0.148,0.056,0.22,0.32,0.016,0.480620155,0.418604651,0,0,0.100775194,0,0,0,0.003649635,0.996350365,0,0.093959732,0.154362416,0.134228188,0.11409396,0.134228188,0.080536913,0.067114094,0.134228188,0.087248322,0.092741935,0.419354839,0.016129032,0.048387097,0.02016129,0.028225806,0.008064516,0.274193548,0.024193548,0.032258065,0.02016129,0.016129032,0.996350365,0,0,0.003649635,0,0,0,0,0.534351145,0.34351145,0.114503817,0.007633588,0,0.544117647,0.283088235,0.169117647,0,0,0,0,0,0.003676471,0,0.335877863,0.65648855,0,0.007633588,0,0.142857143,0.187969925,0.090225564,0.165413534,0.090225564,0.120300752,0.067669173,0.022556391,0.007518797,0.037593985,0.030075188,0.015037594,0.015037594,0.007518797,0.306451613,0.52016129,0,0,0,0.032258065,0.068548387,0.072580645,0,0,0.051020408,0.673469388,0.275510204,0.429090909,0.381818182,0.163636364,0.021818182,0.003636364,0.344322344,0.637362637,0,0,0,0,0,0,0.018315018,-1.01115455,0.183105062,9,"segment_09"
"4",3,"E00060361",0.579365079,0.420634921,0.027667984,0.051383399,0.023715415,0.063241107,0.04743083,0.027667984,0.043478261,0.043478261,0.035573123,0.051383399,0.083003953,0.102766798,0.114624506,0.067193676,0.067193676,0.063241107,0.023715415,0.063241107,0.277272727,0.077272727,0.159090909,0.068181818,0.136363636,0.254545455,0.027272727,0.141732283,0.212598425,0.007874016,0.511811024,0.125984252,0,0,0.003968254,0,0.984126984,0.011904762,0.087912088,0.120879121,0.164835165,0.087912088,0.142857143,0.131868132,0.10989011,0.087912088,0.065934066,0.113122172,0.248868778,0.013574661,0.027149321,0.027149321,0.013574661,0.004524887,0.303167421,0.063348416,0.058823529,0.108597285,0.018099548,0.984126984,0.003968254,0,0,0.007936508,0.003968254,0,0,0.390625,0.3359375,0.203125,0.0703125,0,0.619047619,0.146825397,0.21031746,0,0,0.007936508,0.003968254,0,0.011904762,0,0.421875,0.5703125,0,0.0078125,0,0.269230769,0.146153846,0.1,0.130769231,0.115384615,0.038461538,0.046153846,0.015384615,0.007692308,0.053846154,0.038461538,0,0.023076923,0.015384615,0.279279279,0.414414414,0.009009009,0,0,0.076576577,0.121621622,0.099099099,0,0,0.06870229,0.549618321,0.381679389,0.3187251,0.35059761,0.219123506,0.079681275,0.03187251,0.274509804,0.631372549,0,0,0,0.011764706,0,0,0.082352941,-0.846756648,-1.125605348,7,"segment_07"
"5",4,"E00060362",0.514195584,0.485804416,0.046875,0.05,0.034375,0.03125,0.05,0.071875,0.059375,0.05625,0.046875,0.071875,0.05625,0.084375,0.05625,0.115625,0.115625,0.0375,0.00625,0.009375,0.177536232,0.086956522,0.152173913,0.079710145,0.18115942,0.293478261,0.028985507,0.550724638,0.362318841,0,0,0.086956522,0,0.022082019,0,0,0.977917981,0,0.073619632,0.190184049,0.116564417,0.104294479,0.110429448,0.104294479,0.067484663,0.122699387,0.110429448,0.154411765,0.382352941,0.011029412,0.051470588,0.014705882,0,0,0.316176471,0.025735294,0.033088235,0.011029412,0,0.968454259,0.009463722,0,0,0.022082019,0,0,0,0.528985507,0.34057971,0.130434783,0,0,0.537735849,0.251572327,0.191823899,0,0,0.01572327,0,0,0.003144654,0,0.195652174,0.789855072,0,0.007246377,0.007246377,0.086330935,0.100719424,0.215827338,0.165467626,0.115107914,0.100719424,0.035971223,0.050359712,0,0.035971223,0.035971223,0.021582734,0.014388489,0.021582734,0.275362319,0.608695652,0,0,0,0.007246377,0.079710145,0.028985507,0,0,0.044642857,0.767857143,0.1875,0.511111111,0.349206349,0.101587302,0.034920635,0.003174603,0.35443038,0.585443038,0,0,0,0,0,0,0.060126582,-1.133151782,0.317566295,10,"segment_10"
"6",5,"E00060363",0.513108614,0.486891386,0.04887218,0.037593985,0.026315789,0.045112782,0.056390977,0.078947368,0.07518797,0.04887218,0.030075188,0.056390977,0.109022556,0.131578947,0.07518797,0.067669173,0.04887218,0.041353383,0.011278195,0.011278195,0.123931624,0.064102564,0.162393162,0.081196581,0.230769231,0.290598291,0.047008547,0.421875,0.46875,0,0.0234375,0.0859375,0,0,0,0,1,0,0.109589041,0.164383562,0.178082192,0.116438356,0.136986301,0.089041096,0.068493151,0.095890411,0.04109589,0.143478261,0.452173913,0,0.030434783,0.039130435,0,0.004347826,0.213043478,0.030434783,0.039130435,0.047826087,0,0.973782772,0.018726592,0.003745318,0,0,0.003745318,0,0,0.5078125,0.3515625,0.109375,0.03125,0,0.56928839,0.183520599,0.217228464,0.007490637,0.003745318,0.003745318,0,0,0.011235955,0.003745318,0.3046875,0.6796875,0,0.015625,0,0.108527132,0.19379845,0.062015504,0.186046512,0.069767442,0.108527132,0.046511628,0.062015504,0.015503876,0.100775194,0.046511628,0,0,0,0.343347639,0.47639485,0,0,0,0.021459227,0.103004292,0.055793991,0,0,0.162790698,0.627906977,0.209302326,0.428571429,0.383458647,0.127819549,0.04887218,0.011278195,0.36329588,0.565543071,0,0,0,0,0,0.007490637,0.063670412,-0.744853939,0.115747164,9,"segment_09"
"7",6,"E00060364",0.501766784,0.498233216,0.038461538,0.052447552,0.052447552,0.048951049,0.066433566,0.027972028,0.059440559,0.06993007,0.052447552,0.059440559,0.059440559,0.066433566,0.087412587,0.055944056,0.059440559,0.052447552,0.038461538,0.052447552,0.237704918,0.094262295,0.12704918,0.094262295,0.213114754,0.217213115,0.016393443,0.618644068,0.262711864,0,0.033898305,0.084745763,0,0,0,0.003533569,0.996466431,0,0.063492063,0.126984127,0.166666667,0.047619048,0.126984127,0.158730159,0.071428571,0.103174603,0.134920635,0.144032922,0.325102881,0,0.041152263,0.049382716,0.016460905,0.008230453,0.316872428,0.020576132,0.028806584,0.020576132,0.028806584,0.989473684,0.010526316,0,0,0,0,0,0,0.520661157,0.297520661,0.157024793,0.024793388,0,0.6,0.231578947,0.161403509,0,0,0.003508772,0,0,0.003508772,0,0.239669421,0.752066116,0,0.008264463,0,0.15,0.091666667,0.183333333,0.141666667,0.091666667,0.083333333,0.016666667,0.116666667,0.016666667,0.041666667,0.058333333,0,0.008333333,0,0.363636364,0.516528926,0,0,0,0.016528926,0.041322314,0.061983471,0,0,0.122807018,0.649122807,0.228070175,0.466666667,0.322807018,0.164912281,0.01754386,0.028070175,0.319298246,0.642105263,0.003508772,0,0,0,0,0.003508772,0.031578947,-0.952224898,-0.272727578,8,"segment_08"
"8",7,"E00060365",0.5,0.5,0.033492823,0.043062201,0.033492823,0.033492823,0.038277512,0.052631579,0.028708134,0.038277512,0.028708134,0.038277512,0.086124402,0.086124402,0.124401914,0.105263158,0.110047847,0.076555024,0.033492823,0.009569378,0.193370166,0.082872928,0.121546961,0.08839779,0.121546961,0.359116022,0.033149171,0.684210526,0.221052632,0.010526316,0.031578947,0.052631579,0,0,0,0,1,0,0.16091954,0.218390805,0.126436782,0.08045977,0.103448276,0.137931034,0.045977011,0.091954023,0.034482759,0.110497238,0.314917127,0.016574586,0.044198895,0,0,0.011049724,0.419889503,0.022099448,0.033149171,0.027624309,0,0.995238095,0,0,0,0,0,0.004761905,0,0.421052632,0.442105263,0.126315789,0.010526316,0,0.526315789,0.248803828,0.220095694,0,0,0,0,0,0.004784689,0,0.284210526,0.715789474,0,0,0,0.210526316,0.073684211,0.178947368,0.189473684,0.115789474,0.084210526,0.042105263,0.052631579,0.010526316,0.010526316,0,0,0.010526316,0.021052632,0.244565217,0.630434783,0,0,0,0.005434783,0.043478261,0.076086957,0,0,0.043956044,0.758241758,0.197802198,0.376190476,0.39047619,0.180952381,0.028571429,0.023809524,0.342857143,0.614285714,0.004761905,0,0,0,0,0,0.038095238,-1.587670203,0.098670614,9,"segment_09"
"9",8,"E00060366",0.521582734,0.478417266,0.036101083,0.025270758,0.032490975,0.046931408,0.054151625,0.036101083,0.039711191,0.039711191,0.036101083,0.057761733,0.057761733,0.068592058,0.093862816,0.108303249,0.104693141,0.050541516,0.086642599,0.025270758,0.178137652,0.072874494,0.117408907,0.089068826,0.218623482,0.295546559,0.028340081,0.62295082,0.295081967,0,0,0.081967213,0,0,0,0.014492754,0.985507246,0,0.146341463,0.130081301,0.12195122,0.097560976,0.154471545,0.089430894,0.06504065,0.113821138,0.081300813,0.102040816,0.306122449,0.024489796,0.036734694,0,0.028571429,0,0.420408163,0.012244898,0.020408163,0.016326531,0.032653061,0.992753623,0,0,0,0.003623188,0,0.003623188,0,0.593495935,0.292682927,0.113821138,0,0,0.52189781,0.262773723,0.211678832,0,0,0.003649635,0,0,0,0,0.235772358,0.739837398,0.008130081,0.016260163,0,0.154471545,0.081300813,0.219512195,0.12195122,0.073170732,0.097560976,0.073170732,0.024390244,0,0.048780488,0.032520325,0,0.048780488,0.024390244,0.227642276,0.589430894,0,0,0,0.024390244,0.073170732,0.085365854,0,0,0.032,0.776,0.192,0.474637681,0.355072464,0.134057971,0.028985507,0.007246377,0.173913043,0.786231884,0,0,0.010869565,0,0,0,0.028985507,-1.465038981,0.302610812,9,"segment_09"
"10",9,"E00060367",0.50174216,0.49825784,0.041811847,0.031358885,0.031358885,0.031358885,0.034843206,0.013937282,0.052264808,0.038327526,0.017421603,0.027874564,0.097560976,0.059233449,0.104529617,0.101045296,0.080139373,0.097560976,0.076655052,0.06271777,0.212,0.068,0.116,0.156,0.16,0.252,0.036,0.684615385,0.230769231,0,0.030769231,0.053846154,0,0.017361111,0,0,0.96875,0.013888889,0.072916667,0.15625,0.135416667,0.145833333,0.197916667,0.072916667,0.072916667,0.083333333,0.0625,0.087301587,0.246031746,0.007936508,0.03968254,0.027777778,0,0,0.503968254,0.015873016,0.047619048,0.007936508,0.015873016,0.968641115,0,0,0.003484321,0.020905923,0,0.006968641,0,0.496240602,0.360902256,0.135338346,0.007518797,0,0.552083333,0.267361111,0.166666667,0,0,0,0,0,0.013888889,0,0.215384615,0.761538462,0,0.015384615,0.007692308,0.167938931,0.045801527,0.27480916,0.13740458,0.083969466,0.099236641,0.061068702,0.053435115,0,0.015267176,0.038167939,0,0.015267176,0.007633588,0.175298805,0.637450199,0.003984064,0,0,0.019920319,0.071713147,0.091633466,0,0,0.070512821,0.743589744,0.185897436,0.346020761,0.37716263,0.193771626,0.076124567,0.006920415,0.191637631,0.756097561,0.006968641,0,0,0,0,0.003484321,0.041811847,-1.787355089,-0.08935562,9,"segment_09"
