"","oa21cd","age__0_15","age__16_24","age__25_34","age__35_49","age__50_64","age__65_and_over","sex__female","sex__male","qualification__no_qualifications","qualification__level_1_or_2","qualification__level_3","qualification__apprenticeship","qualification__higher_no_degree","qualification__degree_or_above","national_identity__scottish_only","national_identity__british_only","national_identity__scottish_and_british_only","national_identity__scottish_and_other","national_identity__english_only","national_identity__other_uk_only","national_identity__other_only","national_identity__other_and_uk","ethnicity__white","ethnicity__mixed","ethnicity__asian","ethnicity__black","ethnicity__other","tenure__owned_outright","tenure__owned_with_mortgage","tenure__shared_mortgage","tenure__shared_equity","tenure__social_rented","tenure__private_rented","tenure__rent_free","marital_status__never_married","marital_status__married","marital_status__separated","marital_status__divorced","marital_status__widowed","economic_activity__part_time","economic_activity__full_time","economic_activity__self_employed","economic_activity__retired","economic_activity__student","economic_activity__looking_after_home_family","economic_activity__long_term_sick_or_disabled","economic_activity__other_inactive","occupation__manager_director_senior_official","occupation__professional","occupation__associate_professional_technical","occupation__administrative_secretarial","occupation__skilled_trade","occupation__caring_leisure_service","occupation__sales_customer_service","occupation__process_plant_machine_operative","occupation__elementary_occupations","accommodation_type__detatched_house","accommodation_type__semi_detatched","accommodation_type__terraced","accommodation_type__block_of_flats","accommodation_type__shared_house","accommodation_type__commercial_flats","accommodation_type__mobile_or_temporary","distance_travelled_to_work__mainly_work_from_Home","distance_travelled_to_work__less_than_2_km","distance_travelled_to_work__from_2_to_5_km","distance_travelled_to_work__from_5_to_10_km","distance_travelled_to_work__from_10_to_20_km","distance_travelled_to_work__from_20_to_30_km","distance_travelled_to_work__more_than_30_km","distance_travelled_to_work__not_applicable","general_health__very_good","general_health__good","general_health__fair","general_health__bad","general_health__very_bad","household_cars__none","household_cars__one","household_cars__two_or_more","religion__church_of_scotland","religion__catholic_or_other_christian","religion__muslim","religion__other","religion__no_religion","religion__not_stated","residence_in_uk__born_in_uk","residence_in_uk__less_than_two_years","residence_in_uk__two_to_four_years","residence_in_uk__five_to_9_years","residence_in_uk__ten_years_or_more","travel_to_work__work_from_home","travel_to_work__drive_in_car","travel_to_work__passenger_in_car","travel_to_work__taxi","travel_to_work__motorcycle","travel_to_work__on_foot","travel_to_work__bicycle","travel_to_work__bus","travel_to_work__train","travel_to_work__underground_or_tram","travel_to_work__other","disability__limited_a_lot","disability__limited_a_little","disability__not_limited","unpaid_carers__not_carer","unpaid_carers__carer","low_diversity","security","segment","segment_name"
"1","S00135307",0.180555556,0.069444444,0.069444444,0.201388889,0.229166667,0.236111111,0.486111111,0.513888889,0.110169492,0.203389831,0.101694915,0.084745763,0.127118644,0.372881356,0.694444444,0.159722222,0.020833333,0.027777778,0.020833333,0.020833333,0.069444444,0,0.951388889,0.027777778,0,0,0.006944444,0.472222222,0.319444444,0,0,0,0.208333333,0,0.220338983,0.576271186,0.042372881,0.084745763,0.076271186,0.042372881,0.406779661,0.127118644,0.254237288,0.050847458,0.016949153,0.008474576,0.016949153,0.150684932,0.150684932,0.136986301,0.082191781,0.054794521,0.054794521,0.01369863,0.082191781,0.164383562,0.902777778,0.069444444,0,0.027777778,0,0,0.013888889,0.362318841,0.057971014,0.115942029,0.173913043,0.202898551,0,0.014492754,0.086956522,0.534722222,0.305555556,0.125,0.034722222,0,0.016129032,0.370967742,0.629032258,0.284722222,0.027777778,0,0,0.569444444,0.118055556,0.854166667,0.055555556,0,0.006944444,0.104166667,0.362318841,0.492753623,0.043478261,0,0,0.014492754,0.028985507,0,0.014492754,0,0.057971014,0.0625,0.180555556,0.756944444,0.878571429,0.121428571,1.50057144000064,3.10669932334513,1,"segment_01"
"2","S00135308",0.2,0.015384615,0.061538462,0.230769231,0.338461538,0.153846154,0.415384615,0.615384615,0.134615385,0.153846154,0.038461538,0.153846154,0.096153846,0.461538462,0.615384615,0.092307692,0.123076923,0,0.092307692,0.015384615,0.107692308,0,0.969230769,0,0.030769231,0,0,0.246153846,0.4,0,0,0.030769231,0.292307692,0,0.076923077,0.673076923,0.019230769,0.115384615,0.115384615,0.134615385,0.461538462,0.076923077,0.192307692,0.019230769,0.019230769,0,0,0.1,0.325,0.15,0.05,0.125,0.025,0.075,0.075,0.1,0.692307692,0.246153846,0,0,0,0,0,0.3,0,0.075,0.125,0.275,0,0.025,0.275,0.661538462,0.261538462,0.046153846,0.015384615,0.015384615,0.060606061,0.212121212,0.545454545,0.246153846,0.046153846,0,0.015384615,0.676923077,0.015384615,0.876923077,0.107692308,0,0,0.030769231,0.3,0.675,0,0,0,0,0.025,0,0,0,0.1,0.030769231,0.061538462,0.846153846,0.933333333,0.066666667,0.494875285094473,4.52434378706465,12,"segment_12"
"3","S00135309",0.057692308,0.096153846,0.08974359,0.141025641,0.33974359,0.301282051,0.480769231,0.519230769,0.183673469,0.142857143,0.054421769,0.102040816,0.068027211,0.43537415,0.685897436,0.166666667,0.102564103,0.006410256,0.006410256,0,0.038461538,0,0.91025641,0.012820513,0.076923077,0,0,0.454545455,0.370629371,0,0,0.055944056,0.097902098,0.027972028,0.306122449,0.503401361,0.020408163,0.068027211,0.129251701,0.06122449,0.380952381,0.088435374,0.31292517,0.054421769,0.047619048,0.027210884,0.027210884,0.1375,0.25,0.1,0.1125,0.1,0.05,0.05,0.05,0.1375,0.65034965,0.223776224,0.048951049,0.020979021,0,0.013986014,0.062937063,0.294871795,0.051282051,0.128205128,0.294871795,0.051282051,0,0,0.115384615,0.416666667,0.288461538,0.243589744,0.038461538,0.012820513,0.098591549,0.366197183,0.577464789,0.205128205,0.102564103,0.038461538,0.025641026,0.557692308,0.070512821,0.91025641,0,0,0,0.08974359,0.294871795,0.5,0.025641026,0,0,0.051282051,0.051282051,0.051282051,0,0.012820513,0.025641026,0.083333333,0.198717949,0.717948718,0.909090909,0.090909091,1.53264868844618,1.65145473363955,1,"segment_01"
"4","S00135310",0.137254902,0.169934641,0.104575163,0.202614379,0.254901961,0.130718954,0.555555556,0.444444444,0.083333333,0.295454545,0.128787879,0.113636364,0.174242424,0.234848485,0.699346405,0.098039216,0.111111111,0,0,0,0.071895425,0,0.954248366,0,0.013071895,0.026143791,0.039215686,0.393103448,0.496551724,0,0,0.04137931,0.096551724,0,0.401515152,0.477272727,0.022727273,0.03030303,0.060606061,0.181818182,0.5,0.037878788,0.143939394,0.098484848,0.022727273,0.015151515,0.007575758,0.079207921,0.158415842,0.128712871,0.138613861,0.138613861,0.099009901,0.099009901,0.059405941,0.099009901,0.227586207,0.668965517,0.020689655,0.117241379,0,0,0,0.309278351,0.092783505,0.134020619,0.206185567,0.082474227,0.010309278,0,0.134020619,0.581699346,0.320261438,0.091503268,0.013071895,0,0.123076923,0.507692308,0.415384615,0.31372549,0.078431373,0.052287582,0,0.549019608,0.006535948,0.895424837,0.013071895,0.026143791,0.013071895,0.052287582,0.309278351,0.453608247,0.030927835,0,0.010309278,0.082474227,0,0.010309278,0.041237113,0,0.051546392,0.032679739,0.071895425,0.895424837,0.926174497,0.073825503,-0.197942480376973,2.57214656422527,12,"segment_12"
"5","S00135311",0.225165563,0.052980132,0.152317881,0.311258278,0.198675497,0.086092715,0.476821192,0.529801325,0.101694915,0.144067797,0.076271186,0.076271186,0.152542373,0.440677966,0.655629139,0.132450331,0.072847682,0.026490066,0.026490066,0.013245033,0.079470199,0,0.887417219,0.059602649,0.039735099,0.086092715,0,0.139072848,0.463576159,0,0,0.026490066,0.344370861,0.033112583,0.381355932,0.474576271,0,0.101694915,0.042372881,0.127118644,0.576271186,0.144067797,0.084745763,0.033898305,0,0.016949153,0,0.141304348,0.293478261,0.217391304,0.010869565,0.141304348,0.065217391,0.054347826,0.065217391,0.032608696,0.688741722,0.178807947,0.026490066,0.079470199,0.013245033,0,0.039735099,0.293478261,0.032608696,0.22826087,0.293478261,0.043478261,0.02173913,0.010869565,0.163043478,0.582781457,0.350993377,0.059602649,0.006622517,0.006622517,0.03125,0.40625,0.5625,0.185430464,0.112582781,0,0.013245033,0.582781457,0.099337748,0.867549669,0.013245033,0.006622517,0.013245033,0.105960265,0.293478261,0.641304348,0.010869565,0,0.010869565,0,0,0.032608696,0,0,0.02173913,0.013245033,0.066225166,0.913907285,0.902097902,0.090909091,-1.01337355734442,3.70549914148841,11,"segment_11"
"6","S00135312",0.294117647,0.106951872,0.112299465,0.299465241,0.128342246,0.053475936,0.545454545,0.454545455,0.098484848,0.242424242,0.121212121,0.060606061,0.166666667,0.287878788,0.647058824,0.122994652,0.139037433,0.010695187,0.005347594,0,0.080213904,0.005347594,0.882352941,0.016042781,0.07486631,0.021390374,0.005347594,0.160427807,0.422459893,0,0,0.310160428,0.106951872,0,0.356060606,0.522727273,0.03030303,0.068181818,0.022727273,0.159090909,0.439393939,0.053030303,0.068181818,0.106060606,0.106060606,0.037878788,0.015151515,0.068181818,0.25,0.159090909,0.068181818,0.056818182,0.125,0.136363636,0.125,0.102272727,0.272727273,0.331550802,0.235294118,0.160427807,0,0,0,0.162790698,0.069767442,0.058139535,0.360465116,0.162790698,0,0.046511628,0.11627907,0.529411765,0.28342246,0.144385027,0,0,0.109375,0.4375,0.4375,0.160427807,0.026737968,0.037433155,0.005347594,0.732620321,0.048128342,0.855614973,0,0.005347594,0.032085561,0.106951872,0.162790698,0.639534884,0,0,0,0.069767442,0.011627907,0.081395349,0.011627907,0,0.023255814,0.058823529,0.155080214,0.796791444,0.860335196,0.12849162,-0.352422496580842,1.49300536166705,12,"segment_12"
"7","S00135313",0.149171271,0.077348066,0.066298343,0.138121547,0.143646409,0.419889503,0.574585635,0.425414365,0.292207792,0.246753247,0.064935065,0.116883117,0.116883117,0.175324675,0.817679558,0.08839779,0.055248619,0.011049724,0.011049724,0.005524862,0,0.005524862,0.994475138,0.011049724,0,0,0,0.353741497,0.387755102,0,0,0.197278912,0.047619048,0.013605442,0.357142857,0.415584416,0.025974026,0.090909091,0.116883117,0.064935065,0.292207792,0.019480519,0.461038961,0.058441558,0.051948052,0.032467532,0.025974026,0.032786885,0.262295082,0.229508197,0.131147541,0.131147541,0.032786885,0.098360656,0.081967213,0.06557377,0.074829932,0.591836735,0.292517007,0.040816327,0,0,0,0.254237288,0.101694915,0.101694915,0.288135593,0.06779661,0,0,0.186440678,0.375690608,0.314917127,0.193370166,0.08839779,0.011049724,0.203125,0.4375,0.375,0.337016575,0.055248619,0,0,0.524861878,0.08839779,0.977900552,0,0,0.011049724,0.016574586,0.254237288,0.474576271,0.06779661,0,0,0.033898305,0.050847458,0,0.016949153,0,0.033898305,0.237569061,0.127071823,0.64640884,0.917127072,0.066298343,2.81133691707848,-1.01085186290612,4,"segment_04"
"8","S00135314",0.202312139,0.104046243,0.132947977,0.271676301,0.219653179,0.069364162,0.49132948,0.50867052,0.036231884,0.260869565,0.108695652,0.101449275,0.15942029,0.333333333,0.710982659,0.069364162,0.104046243,0.005780347,0.005780347,0.040462428,0.069364162,0.005780347,0.976878613,0.005780347,0.01734104,0,0,0.294797688,0.49132948,0,0,0.023121387,0.196531792,0,0.31884058,0.471014493,0.036231884,0.144927536,0.043478261,0.130434783,0.528985507,0.065217391,0.086956522,0.101449275,0.036231884,0.007246377,0.02173913,0.082568807,0.302752294,0.23853211,0.128440367,0.100917431,0.027522936,0.036697248,0.036697248,0.064220183,0.265895954,0.393063584,0.034682081,0.329479769,0,0,0,0.295238095,0.076190476,0.152380952,0.276190476,0.095238095,0,0.019047619,0.085714286,0.61849711,0.283236994,0.080924855,0.005780347,0,0.142857143,0.428571429,0.428571429,0.161849711,0.086705202,0,0,0.687861272,0.028901734,0.89017341,0.005780347,0.005780347,0.052023121,0.040462428,0.295238095,0.542857143,0,0,0,0.047619048,0.00952381,0.00952381,0.057142857,0,0.028571429,0.01734104,0.063583815,0.913294798,0.958579882,0.041420118,-1.04853528412848,2.78800750557218,11,"segment_11"
"9","S00135315",0.194444444,0.046296296,0.175925926,0.157407407,0.157407407,0.25,0.509259259,0.509259259,0.235955056,0.224719101,0.112359551,0.101123596,0.123595506,0.213483146,0.768518519,0.092592593,0.018518519,0.018518519,0.046296296,0,0.064814815,0,0.935185185,0,0.064814815,0,0.018518519,0.342592593,0.222222222,0,0.027777778,0.342592593,0.064814815,0.037037037,0.382022472,0.415730337,0.011235955,0.08988764,0.112359551,0.146067416,0.359550562,0.04494382,0.269662921,0.02247191,0.04494382,0.056179775,0.02247191,0.08,0.02,0.22,0.14,0.12,0.16,0.08,0.12,0.08,0.055555556,0.222222222,0.314814815,0.444444444,0.027777778,0,0,0.1875,0.0625,0.25,0.270833333,0.020833333,0,0.041666667,0.104166667,0.444444444,0.324074074,0.194444444,0.037037037,0.037037037,0.211538462,0.538461538,0.230769231,0.12037037,0.148148148,0.009259259,0,0.685185185,0.055555556,0.907407407,0.018518519,0.009259259,0,0.064814815,0.1875,0.520833333,0.0625,0,0,0.083333333,0,0.0625,0.041666667,0,0,0.101851852,0.157407407,0.768518519,0.906542056,0.093457944,0.634333995118341,-1.35041989005013,5,"segment_05"
"10","S00135316",0.146153846,0.046153846,0.107692308,0.169230769,0.223076923,0.323076923,0.469230769,0.530769231,0.18018018,0.198198198,0.099099099,0.162162162,0.09009009,0.243243243,0.553846154,0.207692308,0.1,0,0,0.007692308,0.130769231,0,0.869230769,0.023076923,0.084615385,0.061538462,0,0.395348837,0.364341085,0,0,0.007751938,0.209302326,0.023255814,0.288288288,0.486486486,0.036036036,0.099099099,0.09009009,0.135135135,0.351351351,0.054054054,0.324324324,0.027027027,0.027027027,0.018018018,0.027027027,0.016393443,0.163934426,0.262295082,0.147540984,0.131147541,0.016393443,0.081967213,0.049180328,0.114754098,0.418604651,0.255813953,0.007751938,0.294573643,0.007751938,0.03875969,0,0.3,0.116666667,0.183333333,0.166666667,0.033333333,0,0,0.15,0.330769231,0.438461538,0.153846154,0.053846154,0.023076923,0.333333333,0.396825397,0.301587302,0.253846154,0.092307692,0,0.046153846,0.553846154,0.053846154,0.846153846,0.046153846,0.023076923,0.015384615,0.061538462,0.3,0.333333333,0.033333333,0.016666667,0,0.1,0.016666667,0.016666667,0.016666667,0,0.1,0.123076923,0.153846154,0.723076923,0.866141732,0.133858268,-0.163701122029041,-0.087782011636048,13,"segment_13"
